Date,AAPL,AMZN,CAT,CVX,GOOGL,JNJ,JPM,KO,META,MSFT,NVDA,PFE,PG,V,XOM
2022-07-13,142.89187622070312,110.4000015258789,162.96463012695312,119.62934875488281,110.59074401855469,158.05661010742188,103.01435852050781,56.187286376953125,162.48831176757812,245.6038818359375,15.141304969787598,42.835636138916016,133.25567626953125,198.79037475585938,75.18270111083984
2022-07-14,145.8186492919922,110.62999725341797,159.2811279296875,117.85211944580078,109.61149597167969,158.2728271484375,99.4151382446289,56.007144927978516,157.08164978027344,246.92556762695312,15.348992347717285,42.504791259765625,132.8624267578125,200.5041961669922,73.67621612548828
2022-07-15,147.4883270263672,113.55000305175781,162.50538635253906,119.3345947265625,111.0118408203125,160.57017517089844,103.97167205810547,56.29536819458008,163.69090270996094,249.49124145507812,15.738408088684082,42.80255126953125,132.67950439453125,204.52572631835938,74.91685485839844
2022-07-18,144.4436492919922,113.76000213623047,162.60845947265625,121.00780487060547,108.28315734863281,156.9664764404297,102.9039077758789,55.52975082397461,166.20538330078125,247.09080505371094,16.076900482177734,41.975440979003906,131.06982421875,201.7700653076172,76.29927062988281
2022-07-19,148.30345153808594,118.20999908447266,169.40390014648438,125.36854553222656,113.03041076660156,154.6781463623047,105.45370483398438,56.3223876953125,174.70301818847656,252.22215270996094,16.966569900512695,42.488250732421875,131.7375030517578,208.0507354736328,78.2222671508789
2022-07-20,150.30702209472656,122.7699966430664,169.85691833496094,127.02436828613281,113.11981201171875,153.79530334472656,105.43531036376953,55.39464569091797,181.96823120117188,254.8849334716797,17.78034782409668,42.033348083496094,129.4601593017578,207.768310546875,79.08183288574219
2022-07-21,152.57579040527344,124.62999725341797,170.8196258544922,126.05339050292969,113.55677795410156,154.3358154296875,106.1532974243164,55.2685432434082,182.04771423339844,257.382568359375,18.02298355102539,42.28147888183594,129.5825653076172,210.51431274414062,77.76145935058594
2022-07-22,151.3383331298828,122.41999816894531,168.58277893066406,125.00437927246094,107.16090393066406,155.06553649902344,105.63780975341797,55.47571563720703,168.23289489746094,253.02877807617188,17.293081283569336,42.37245178222656,131.6537628173828,208.08966064453125,77.167724609375
2022-07-25,150.21865844726562,121.13999938964844,171.5935516357422,128.7235870361328,106.77357482910156,155.37185668945312,106.0612564086914,56.016143798828125,165.6289520263672,251.5417938232422,16.998517990112305,42.819095611572266,132.54664611816406,208.6446990966797,79.73762512207031
2022-07-26,148.89276123046875,114.80999755859375,171.04611206054688,127.71794128417969,104.30062103271484,156.470947265625,104.40432739257812,56.93488693237305,158.17491149902344,244.8069610595703,16.508255004882812,43.25745391845703,132.80441284179688,206.9114532470703,79.42745208740234
2022-07-27,153.99008178710938,120.97000122070312,174.84019470214844,129.39976501464844,112.28556060791016,156.03854370117188,106.07965087890625,56.75474166870117,168.54100036621094,261.1727600097656,17.76337432861328,42.96797561645508,134.06552124023438,204.94444274902344,81.14662170410156
2022-07-28,154.5400848388672,122.27999877929688,177.28468322753906,130.37945556640625,113.43760681152344,156.939453125,105.683837890625,57.70049285888672,159.7352752685547,268.6268615722656,17.957080841064453,42.276153564453125,136.293212890625,205.8013458251953,82.09483337402344
2022-07-29,159.60794067382812,134.9499969482422,187.1097412109375,141.98780822753906,115.5232162475586,157.22776794433594,106.19010925292969,57.79957962036133,158.1251983642578,272.83489990234375,18.13581657409668,42.101112365722656,127.87041473388672,206.54141235351562,85.8965072631836
2022-08-01,158.62579345703125,135.38999938964844,183.91021728515625,139.1528778076172,114.0732192993164,156.67819213867188,105.13153076171875,58.11482620239258,158.95010375976562,270.1817321777344,18.41339683532715,42.1844596862793,131.5432891845703,205.81109619140625,83.72538757324219
2022-08-02,157.152587890625,134.16000366210938,173.19798278808594,137.96517944335938,114.34136962890625,155.78628540039062,103.49302673339844,57.32219314575195,159.2085418701172,267.0816345214844,18.498273849487305,41.417625427246094,130.6687774658203,200.844970703125,83.36204528808594
