Date,AAPL,ABT,ADBE,AMZN,AVGO,BA,BAC,BRK-B,CAT,CMCSA,COST,CRM,CSCO,CVX,DIS,GE,GOOGL,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,LLY,MA,MCD,META,MRK,MS,MSFT,NKE,NVDA,ORCL,PEP,PFE,PG,PM,QCOM,SBUX,TMO,TXN,UNH,UPS,V,VZ,WFC,WMT,XOM
2014-06-16,20.250995635986328,32.02037811279297,67.62000274658203,16.381000518798828,5.3036627769470215,114.55624389648438,12.04442310333252,126.1500015258789,79.47277069091797,20.147371292114258,92.51380157470703,54.041526794433594,17.221160888671875,78.75689697265625,75.4052734375,107.08943939208984,27.42584228515625,132.56582641601562,60.35731506347656,66.40484619140625,109.01290130615234,22.723411560058594,74.43988037109375,41.67327880859375,28.33368492126465,47.53260803222656,70.01914978027344,75.29022216796875,63.79671096801758,39.11919021606445,23.38353157043457,34.93488693237305,32.272823333740234,0.46339526772499084,35.52122116088867,62.07853317260742,17.35809898376465,57.70466995239258,50.29117202758789,56.88253402709961,29.888412475585938,114.61177825927734,35.12713623046875,65.29945373535156,67.31404876708984,48.475807189941406,27.300111770629883,37.00410079956055,20.160131454467773,63.3107795715332
2014-06-17,20.224639892578125,31.988285064697266,67.54000091552734,16.2810001373291,5.37053108215332,114.47846221923828,12.28878116607666,126.02999877929688,79.36863708496094,20.089635848999023,92.52981567382812,57.21811294555664,17.200101852416992,78.9345932006836,75.27852630615234,107.28907775878906,27.34241485595703,134.46022033691406,61.21408462524414,66.7587661743164,108.95909118652344,22.6779842376709,74.06204223632812,42.076324462890625,28.51487159729004,47.87193298339844,69.89797973632812,75.4168472290039,64.00542449951172,39.112449645996094,23.966094970703125,35.08641815185547,32.5065803527832,0.4664877653121948,35.66447448730469,61.8870849609375,17.28188705444336,57.625003814697266,50.12737274169922,57.251373291015625,29.97597312927246,114.56346893310547,35.222023010253906,65.4417495727539,67.6001205444336,48.60722351074219,27.244754791259766,37.41695022583008,20.066486358642578,63.00319290161133
2014-06-18,20.246599197387695,32.3975715637207,73.08000183105469,16.7189998626709,5.3509955406188965,114.5043716430664,12.336078643798828,127.16999816894531,79.9713134765625,20.26667594909668,93.18704986572266,57.15873718261719,17.29136085510254,79.82300567626953,75.65873718261719,107.36893463134766,27.84097671508789,135.77114868164062,61.741912841796875,66.68092346191406,109.76018524169922,22.66283416748047,74.7014389038086,42.34011459350586,28.960847854614258,48.4698371887207,70.02847290039062,75.47640991210938,65.19806671142578,39.34823989868164,24.08408546447754,35.0611686706543,32.99143600463867,0.4660119414329529,36.077423095703125,63.03579330444336,17.416723251342773,57.77708053588867,50.77134323120117,57.27308654785156,30.075490951538086,115.78019714355469,34.93738555908203,66.31242370605469,68.38516998291016,48.708683013916016,27.361019134521484,37.692176818847656,20.256471633911133,63.19388961791992
2014-06-19,20.176321029663086,32.90314483642578,72.94999694824219,16.350000381469727,5.329206943511963,114.79827880859375,12.257251739501953,127.25,79.80018615722656,20.37442970275879,93.17902374267578,57.277488708496094,17.347518920898438,80.87071990966797,75.83073425292969,108.4156723022461,28.05599594116211,135.66725158691406,61.53538131713867,66.85787200927734,109.29383850097656,22.783987045288086,75.42806243896484,41.988380432128906,29.121118545532227,48.356727600097656,69.23613739013672,75.89344787597656,63.94578552246094,39.27412033081055,23.995594024658203,34.94330596923828,32.74467849731445,0.4553072154521942,35.82459259033203,63.886661529541016,17.346370697021484,58.102909088134766,51.596031188964844,57.6781120300293,30.740198135375977,115.59672546386719,34.966575622558594,67.4007339477539,68.10574340820312,48.494258880615234,27.388700485229492,37.67770004272461,20.301965713500977,63.13237380981445
2014-06-20,19.967655181884766,32.78276824951172,72.61000061035156,16.209999084472656,5.377293109893799,114.17596435546875,12.186263084411621,126.73999786376953,81.38501739501953,20.29746437072754,92.45770263671875,56.91133499145508,17.43177604675293,81.08515930175781,74.97078704833984,108.57669830322266,28.131969451904297,135.755126953125,61.328826904296875,67.12690734863281,108.53461456298828,22.86728286743164,76.4888687133789,42.17157745361328,29.051441192626953,50.118080139160156,68.80726623535156,75.90089416503906,64.10482025146484,39.69179916381836,23.811233520507812,35.08641815185547,32.510902404785156,0.45031166076660156,34.400386810302734,63.17759323120117,17.45775604248047,57.87844467163086,51.48308181762695,57.75765609741211,30.48943519592285,114.8531723022461,34.988460540771484,68.15421295166016,68.19222259521484,48.30287170410156,27.34440803527832,38.30783462524414,20.251123428344727,63.870567321777344
2014-06-23,19.95009422302246,32.686466217041016,72.88999938964844,16.36199951171875,5.352498531341553,113.09557342529297,12.336125373840332,126.66999816894531,80.93856048583984,20.17815399169922,92.34550476074219,57.396240234375,17.34050750732422,81.47730255126953,74.91646575927734,107.40919494628906,28.517810821533203,136.0749053955078,61.6883659362793,66.737548828125,108.88731384277344,22.88999366760254,76.11106872558594,42.640567779541016,29.079303741455078,50.15039825439453,69.11492156982422,75.89344787597656,64.96949005126953,39.40885543823242,23.980838775634766,35.347381591796875,32.66241455078125,0.4450783133506775,34.6363410949707,62.67415237426758,17.264301300048828,57.58155822753906,51.08200454711914,57.44666290283203,30.54119300842285,115.0076675415039,35.090660095214844,68.22116088867188,68.1656265258789,48.29826736450195,27.532638549804688,38.37302017211914,20.28055191040039,64.20886993408203
2014-06-24,19.829280853271484,32.46175765991211,72.37999725341797,16.20800018310547,5.309672832489014,111.626220703125,12.217811584472656,126.77999877929688,80.21688079833984,20.258981704711914,93.2191162109375,56.86186218261719,17.221160888671875,80.73593139648438,74.84404754638672,107.00662231445312,28.430910110473633,134.46823120117188,61.52774429321289,65.85260772705078,108.13410186767578,23.094436645507812,75.99476623535156,42.076324462890625,29.162944793701172,50.004974365234375,67.77250671386719,75.56578063964844,65.31732940673828,39.018150329589844,23.6195011138916,35.145355224609375,32.458961486816406,0.438179612159729,34.349822998046875,62.43309783935547,17.17637062072754,57.21226119995117,51.01349639892578,56.97657012939453,30.819808959960938,114.48622131347656,34.82060623168945,68.43048095703125,67.67996215820312,47.910888671875,27.28350257873535,38.018123626708984,20.328720092773438,63.19388961791992
2014-06-25,19.846858978271484,32.662391662597656,72.44000244140625,16.371999740600586,5.381801128387451,109.81982421875,12.202037811279297,127.12999725341797,80.68560791015625,20.478347778320312,93.18704986572266,56.81238555908203,17.35455322265625,80.40508270263672,75.94840240478516,106.36248779296875,29.095821380615234,134.58810424804688,61.60421371459961,65.98713684082031,108.03840637207031,23.38216781616211,76.84490966796875,42.156917572021484,29.239587783813477,50.90182113647461,68.0894775390625,75.6700439453125,67.02680969238281,39.6513786315918,23.766992568969727,35.38104248046875,33.103981018066406,0.44269949197769165,34.09698486328125,62.80885314941406,17.469482421875,57.436744689941406,50.73952102661133,56.44862747192383,31.09445571899414,115.04632568359375,35.06144332885742,68.93275451660156,68.1323471069336,48.2037353515625,27.355485916137695,38.09779357910156,20.23506736755371,62.830955505371094
2014-06-26,19.96546745300293,32.598201751708984,72.8499984741211,16.284500122070312,5.331460475921631,110.64955139160156,12.15471076965332,127.0999984741211,80.7451171875,20.628437042236328,92.6821060180664,56.574886322021484,17.305404663085938,80.21512603759766,76.4462890625,105.83912658691406,29.038223266601562,134.2924041748047,61.772525787353516,65.88092803955078,107.8292007446289,23.30645179748535,76.76496887207031,42.05432891845703,29.28837013244629,50.93413543701172,67.83776092529297,75.59557342529297,66.71868896484375,39.42906951904297,23.516263961791992,35.12009048461914,33.27280807495117,0.43675243854522705,33.83575439453125,62.83015823364258,17.346370697021484,56.92986297607422,49.36957550048828,56.96934127807617,31.070575714111328,115.20081329345703,34.87898635864258,68.89091491699219,68.28539276123047,48.180667877197266,27.244754791259766,37.93119430541992,20.04507827758789,62.76328659057617
2014-06-27,20.202672958374023,32.53398513793945,72.0,16.228500366210938,5.329958915710449,111.09899139404297,12.0916109085083,127.31999969482422,80.93856048583984,20.83241844177246,92.5618667602539,56.78269577026367,17.34050750732422,79.87201690673828,77.21573638916016,106.40278625488281,29.083904266357422,133.30923461914062,62.06321716308594,66.02253723144531,108.63028717041016,23.42003059387207,76.28543853759766,42.156917572021484,29.399860382080078,50.98260498046875,68.42507934570312,75.55831909179688,67.18582916259766,38.75541305541992,23.265548706054688,35.56624221801758,33.62778854370117,0.4372282028198242,34.155982971191406,62.936527252197266,17.393272399902344,57.219505310058594,48.433448791503906,57.12841796875,31.02280616760254,114.23516082763672,34.85710525512695,68.64815521240234,68.33196258544922,48.254451751708984,27.305644989013672,38.31508255004883,20.160131454467773,62.25888442993164
